"Notes"	"County"	"County Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
	"Yavapai County, AZ"	"04025"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	124	225562	55.0	45.3	64.6
	"Yavapai County, AZ"	"04025"	"Atherosclerotic heart disease"	"I25.1"	139	225562	61.6	51.4	71.9
	"Yavapai County, AZ"	"04025"	"Ischaemic cardiomyopathy"	"I25.5"	19	225562	8.4 (Unreliable)	5.1	13.2
	"Yavapai County, AZ"	"04025"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	27	225562	12.0	7.9	17.4
	"Yavapai County, AZ"	"04025"	"Aortic (valve) stenosis"	"I35.0"	19	225562	8.4 (Unreliable)	5.1	13.2
	"Yavapai County, AZ"	"04025"	"Cardiomyopathy, unspecified"	"I42.9"	20	225562	8.9	5.4	13.7
	"Yavapai County, AZ"	"04025"	"Atrial fibrillation and flutter"	"I48"	30	225562	13.3	9.0	19.0
	"Yavapai County, AZ"	"04025"	"Congestive heart failure"	"I50.0"	38	225562	16.8	11.9	23.1
	"Yavapai County, AZ"	"04025"	"Heart disease, unspecified"	"I51.9"	13	225562	5.8 (Unreliable)	3.1	9.9
	"Yuma County, AZ"	"04027"	"Acute myocardial infarction, unspecified"	"I21.9"	55	205631	26.7	20.1	34.8
	"Yuma County, AZ"	"04027"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	10	205631	4.9 (Unreliable)	2.3	8.9
	"Yuma County, AZ"	"04027"	"Atherosclerotic heart disease"	"I25.1"	133	205631	64.7	53.7	75.7
	"Yuma County, AZ"	"04027"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	57	205631	27.7	21.0	35.9
	"Yuma County, AZ"	"04027"	"Congestive heart failure"	"I50.0"	18	205631	8.8 (Unreliable)	5.2	13.8
	"Yuma County, AZ"	"04027"	"Heart disease, unspecified"	"I51.9"	12	205631	5.8 (Unreliable)	3.0	10.2
	"Arkansas County, AR"	"05001"	"Acute myocardial infarction, unspecified"	"I21.9"	25	18214	137.3	88.8	202.6
	"Arkansas County, AR"	"05001"	"Atherosclerotic heart disease"	"I25.1"	15	18214	82.4 (Unreliable)	46.1	135.8
	"Ashley County, AR"	"05003"	"Acute myocardial infarction, unspecified"	"I21.9"	22	20492	107.4	67.3	162.5
	"Ashley County, AR"	"05003"	"Atherosclerotic heart disease"	"I25.1"	11	20492	53.7 (Unreliable)	26.8	96.0
	"Baxter County, AR"	"05005"	"Acute myocardial infarction, unspecified"	"I21.9"	45	41062	109.6	79.9	146.6
	"Baxter County, AR"	"05005"	"Atherosclerotic heart disease"	"I25.1"	28	41062	68.2	45.3	98.6
	"Baxter County, AR"	"05005"	"Congestive heart failure"	"I50.0"	17	41062	41.4 (Unreliable)	24.1	66.3
	"Benton County, AR"	"05007"	"Hypertensive heart disease with (congestive) heart failure"	"I11.0"	29	258291	11.2	7.5	16.1
	"Benton County, AR"	"05007"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	30	258291	11.6	7.8	16.6
	"Benton County, AR"	"05007"	"Acute myocardial infarction, unspecified"	"I21.9"	156	258291	60.4	50.9	69.9
	"Benton County, AR"	"05007"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	28	258291	10.8	7.2	15.7
	"Benton County, AR"	"05007"	"Atherosclerotic heart disease"	"I25.1"	65	258291	25.2	19.4	32.1
	"Benton County, AR"	"05007"	"Congestive heart failure"	"I50.0"	10	258291	3.9 (Unreliable)	1.9	7.1
	"Benton County, AR"	"05007"	"Heart disease, unspecified"	"I51.9"	17	258291	6.6 (Unreliable)	3.8	10.5
	"Boone County, AR"	"05009"	"Acute myocardial infarction, unspecified"	"I21.9"	73	37304	195.7	153.4	246.1
	"Boone County, AR"	"05009"	"Atherosclerotic heart disease"	"I25.1"	32	37304	85.8	58.7	121.1
	"Bradley County, AR"	"05011"	"Acute myocardial infarction, unspecified"	"I21.9"	22	10996	200.1	125.4	302.9
	"Carroll County, AR"	"05015"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	11	27646	39.8 (Unreliable)	19.9	71.2
	"Carroll County, AR"	"05015"	"Acute myocardial infarction, unspecified"	"I21.9"	35	27646	126.6	88.2	176.1
	"Carroll County, AR"	"05015"	"Atherosclerotic heart disease"	"I25.1"	10	27646	36.2 (Unreliable)	17.3	66.5
	"Carroll County, AR"	"05015"	"Congestive heart failure"	"I50.0"	12	27646	43.4 (Unreliable)	22.4	75.8
	"Chicot County, AR"	"05017"	"Acute myocardial infarction, unspecified"	"I21.9"	20	10945	182.7	111.6	282.2
	"Clark County, AR"	"05019"	"Acute myocardial infarction, unspecified"	"I21.9"	13	22657	57.4 (Unreliable)	30.6	98.1
	"Clark County, AR"	"05019"	"Atherosclerotic heart disease"	"I25.1"	32	22657	141.2	96.6	199.4
	"Clark County, AR"	"05019"	"Congestive heart failure"	"I50.0"	10	22657	44.1 (Unreliable)	21.2	81.2
	"Clay County, AR"	"05021"	"Acute myocardial infarction, unspecified"	"I21.9"	37	14920	248.0	174.6	341.8
	"Cleburne County, AR"	"05023"	"Acute myocardial infarction, unspecified"	"I21.9"	19	25264	75.2 (Unreliable)	45.3	117.4
	"Columbia County, AR"	"05027"	"Acute myocardial infarction, unspecified"	"I21.9"	16	23901	66.9 (Unreliable)	38.3	108.7
	"Columbia County, AR"	"05027"	"Atherosclerotic heart disease"	"I25.1"	14	23901	58.6 (Unreliable)	32.0	98.3
	"Columbia County, AR"	"05027"	"Congestive heart failure"	"I50.0"	13	23901	54.4 (Unreliable)	29.0	93.0
	"Conway County, AR"	"05029"	"Acute myocardial infarction, unspecified"	"I21.9"	27	20937	129.0	85.0	187.6
	"Craighead County, AR"	"05031"	"Hypertensive heart disease with (congestive) heart failure"	"I11.0"	16	105835	15.1 (Unreliable)	8.6	24.6
	"Craighead County, AR"	"05031"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	60	105835	56.7	43.3	73.0
	"Craighead County, AR"	"05031"	"Acute myocardial infarction, unspecified"	"I21.9"	85	105835	80.3	64.2	99.3
	"Craighead County, AR"	"05031"	"Atherosclerotic heart disease"	"I25.1"	36	105835	34.0	23.8	47.1
	"Craighead County, AR"	"05031"	"Congestive heart failure"	"I50.0"	25	105835	23.6	15.3	34.9
	"Crawford County, AR"	"05033"	"Acute myocardial infarction, unspecified"	"I21.9"	74	62267	118.8	93.3	149.2
	"Crawford County, AR"	"05033"	"Atherosclerotic heart disease"	"I25.1"	27	62267	43.4	28.6	63.1
	"Crawford County, AR"	"05033"	"Congestive heart failure"	"I50.0"	11	62267	17.7 (Unreliable)	8.8	31.6
	"Crittenden County, AR"	"05035"	"Acute myocardial infarction, unspecified"	"I21.9"	34	49235	69.1	47.8	96.5
	"Crittenden County, AR"	"05035"	"Atherosclerotic heart disease"	"I25.1"	15	49235	30.5 (Unreliable)	17.1	50.2
	"Cross County, AR"	"05037"	"Acute myocardial infarction, unspecified"	"I21.9"	21	17037	123.3	76.3	188.4
	"Dallas County, AR"	"05039"	"Atherosclerotic heart disease"	"I25.1"	10	7469	133.9 (Unreliable)	64.2	246.2
	"Desha County, AR"	"05041"	"Acute myocardial infarction, unspecified"	"I21.9"	45	11876	378.9	276.4	507.0
	"Drew County, AR"	"05043"	"Acute myocardial infarction, unspecified"	"I21.9"	18	18651	96.5 (Unreliable)	57.2	152.5
	"Drew County, AR"	"05043"	"Atherosclerotic heart disease"	"I25.1"	13	18651	69.7 (Unreliable)	37.1	119.2
	"Drew County, AR"	"05043"	"Congestive heart failure"	"I50.0"	10	18651	53.6 (Unreliable)	25.7	98.6
	"Faulkner County, AR"	"05045"	"Acute myocardial infarction, unspecified"	"I21.9"	105	122227	85.9	69.5	102.3
	"Faulkner County, AR"	"05045"	"Atherosclerotic heart disease"	"I25.1"	23	122227	18.8	11.9	28.2
	"Faulkner County, AR"	"05045"	"Congestive heart failure"	"I50.0"	18	122227	14.7 (Unreliable)	8.7	23.3
	"Faulkner County, AR"	"05045"	"Heart failure, unspecified"	"I50.9"	11	122227	9.0 (Unreliable)	4.5	16.1
	"Franklin County, AR"	"05047"	"Acute myocardial infarction, unspecified"	"I21.9"	31	17626	175.9	119.5	249.6
	"Fulton County, AR"	"05049"	"Acute myocardial infarction, unspecified"	"I21.9"	17	12123	140.2 (Unreliable)	81.7	224.5
	"Garland County, AR"	"05051"	"Acute myocardial infarction, unspecified"	"I21.9"	54	97477	55.4	41.6	72.3
	"Garland County, AR"	"05051"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	11	97477	11.3 (Unreliable)	5.6	20.2
	"Garland County, AR"	"05051"	"Atherosclerotic heart disease"	"I25.1"	121	97477	124.1	102.0	146.2
	"Garland County, AR"	"05051"	"Ischaemic cardiomyopathy"	"I25.5"	12	97477	12.3 (Unreliable)	6.4	21.5
	"Garland County, AR"	"05051"	"Atrial fibrillation and flutter"	"I48"	14	97477	14.4 (Unreliable)	7.9	24.1
	"Garland County, AR"	"05051"	"Cardiac arrhythmia, unspecified"	"I49.9"	17	97477	17.4 (Unreliable)	10.2	27.9
	"Garland County, AR"	"05051"	"Congestive heart failure"	"I50.0"	32	97477	32.8	22.5	46.3
	"Garland County, AR"	"05051"	"Heart failure, unspecified"	"I50.9"	11	97477	11.3 (Unreliable)	5.6	20.2
	"Garland County, AR"	"05051"	"Heart disease, unspecified"	"I51.9"	25	97477	25.6	16.6	37.9
	"Grant County, AR"	"05053"	"Acute myocardial infarction, unspecified"	"I21.9"	11	18082	60.8 (Unreliable)	30.4	108.8
	"Greene County, AR"	"05055"	"Acute myocardial infarction, unspecified"	"I21.9"	41	44598	91.9	66.0	124.7
	"Greene County, AR"	"05055"	"Atherosclerotic heart disease"	"I25.1"	21	44598	47.1	29.1	72.0
	"Hempstead County, AR"	"05057"	"Acute myocardial infarction, unspecified"	"I21.9"	23	21974	104.7	66.4	157.1
	"Hempstead County, AR"	"05057"	"Atherosclerotic heart disease"	"I25.1"	10	21974	45.5 (Unreliable)	21.8	83.7
	"Hot Spring County, AR"	"05059"	"Acute myocardial infarction, unspecified"	"I21.9"	16	33374	47.9 (Unreliable)	27.4	77.9
	"Hot Spring County, AR"	"05059"	"Atherosclerotic heart disease"	"I25.1"	31	33374	92.9	63.1	131.8
	"Hot Spring County, AR"	"05059"	"Congestive heart failure"	"I50.0"	11	33374	33.0 (Unreliable)	16.5	59.0
	"Howard County, AR"	"05061"	"Atherosclerotic heart disease"	"I25.1"	14	13377	104.7 (Unreliable)	57.2	175.6
	"Independence County, AR"	"05063"	"Acute myocardial infarction, unspecified"	"I21.9"	71	37168	191.0	149.2	241.0
	"Independence County, AR"	"05063"	"Atherosclerotic heart disease"	"I25.1"	26	37168	70.0	45.7	102.5
	"Independence County, AR"	"05063"	"Congestive heart failure"	"I50.0"	14	37168	37.7 (Unreliable)	20.6	63.2
	"Izard County, AR"	"05065"	"Acute myocardial infarction, unspecified"	"I21.9"	26	13433	193.6	126.4	283.6
	"Jackson County, AR"	"05067"	"Acute myocardial infarction, unspecified"	"I21.9"	16	17221	92.9 (Unreliable)	53.1	150.9
	"Jackson County, AR"	"05067"	"Congestive heart failure"	"I50.0"	10	17221	58.1 (Unreliable)	27.8	106.8
	"Jefferson County, AR"	"05069"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	10	70016	14.3 (Unreliable)	6.8	26.3
	"Jefferson County, AR"	"05069"	"Acute myocardial infarction, unspecified"	"I21.9"	68	70016	97.1	75.4	123.1
	"Jefferson County, AR"	"05069"	"Atherosclerotic heart disease"	"I25.1"	51	70016	72.8	54.2	95.8
	"Jefferson County, AR"	"05069"	"Cardiac arrhythmia, unspecified"	"I49.9"	14	70016	20.0 (Unreliable)	10.9	33.5
	"Jefferson County, AR"	"05069"	"Congestive heart failure"	"I50.0"	24	70016	34.3	22.0	51.0
	"Jefferson County, AR"	"05069"	"Heart failure, unspecified"	"I50.9"	18	70016	25.7 (Unreliable)	15.2	40.6
	"Johnson County, AR"	"05071"	"Acute myocardial infarction, unspecified"	"I21.9"	16	26176	61.1 (Unreliable)	34.9	99.3
	"Johnson County, AR"	"05071"	"Atherosclerotic heart disease"	"I25.1"	20	26176	76.4	46.7	118.0
	"Johnson County, AR"	"05071"	"Congestive heart failure"	"I50.0"	11	26176	42.0 (Unreliable)	21.0	75.2
	"Lafayette County, AR"	"05073"	"Acute myocardial infarction, unspecified"	"I21.9"	13	6847	189.9 (Unreliable)	101.1	324.7
	"Lawrence County, AR"	"05075"	"Acute myocardial infarction, unspecified"	"I21.9"	17	16735	101.6 (Unreliable)	59.2	162.6
	"Lawrence County, AR"	"05075"	"Congestive heart failure"	"I50.0"	10	16735	59.8 (Unreliable)	28.7	109.9
	"Lee County, AR"	"05077"	"Acute myocardial infarction, unspecified"	"I21.9"	13	9310	139.6 (Unreliable)	74.3	238.8
	"Lincoln County, AR"	"05079"	"Acute myocardial infarction, unspecified"	"I21.9"	17	13705	124.0 (Unreliable)	72.3	198.6
	"Little River County, AR"	"05081"	"Hypertensive heart disease with (congestive) heart failure"	"I11.0"	10	12451	80.3 (Unreliable)	38.5	147.7
	"Little River County, AR"	"05081"	"Acute myocardial infarction, unspecified"	"I21.9"	15	12451	120.5 (Unreliable)	67.4	198.7
	"Logan County, AR"	"05083"	"Acute myocardial infarction, unspecified"	"I21.9"	30	21792	137.7	92.9	196.5
	"Logan County, AR"	"05083"	"Atherosclerotic heart disease"	"I25.1"	13	21792	59.7 (Unreliable)	31.8	102.0
	"Lonoke County, AR"	"05085"	"Hypertensive heart disease with (congestive) heart failure"	"I11.0"	10	72228	13.8 (Unreliable)	6.6	25.5
	"Lonoke County, AR"	"05085"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	11	72228	15.2 (Unreliable)	7.6	27.2
	"Lonoke County, AR"	"05085"	"Acute myocardial infarction, unspecified"	"I21.9"	39	72228	54.0	38.4	73.8
	"Lonoke County, AR"	"05085"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	11	72228	15.2 (Unreliable)	7.6	27.2
	"Lonoke County, AR"	"05085"	"Atherosclerotic heart disease"	"I25.1"	18	72228	24.9 (Unreliable)	14.8	39.4
	"Lonoke County, AR"	"05085"	"Congestive heart failure"	"I50.0"	22	72228	30.5	19.1	46.1
	"Madison County, AR"	"05087"	"Acute myocardial infarction, unspecified"	"I21.9"	11	16072	68.4 (Unreliable)	34.2	122.5
	"Madison County, AR"	"05087"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	21	16072	130.7	80.9	199.7
	"Marion County, AR"	"05089"	"Acute myocardial infarction, unspecified"	"I21.9"	34	16325	208.3	144.2	291.0
	"Miller County, AR"	"05091"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	12	43787	27.4 (Unreliable)	14.2	47.9
	"Miller County, AR"	"05091"	"Acute myocardial infarction, unspecified"	"I21.9"	20	43787	45.7	27.9	70.5
	"Miller County, AR"	"05091"	"Congestive heart failure"	"I50.0"	19	43787	43.4 (Unreliable)	26.1	67.8
	"Miller County, AR"	"05091"	"Heart disease, unspecified"	"I51.9"	11	43787	25.1 (Unreliable)	12.5	44.9
	"Mississippi County, AR"	"05093"	"Acute myocardial infarction, unspecified"	"I21.9"	91	42835	212.4	171.0	260.8
	"Mississippi County, AR"	"05093"	"Atherosclerotic heart disease"	"I25.1"	13	42835	30.3 (Unreliable)	16.2	51.9
	"Monroe County, AR"	"05095"	"Acute myocardial infarction, unspecified"	"I21.9"	18	7169	251.1 (Unreliable)	148.8	396.8
	"Nevada County, AR"	"05099"	"Acute myocardial infarction, unspecified"	"I21.9"	12	8398	142.9 (Unreliable)	73.8	249.6
	"Newton County, AR"	"05101"	"Acute myocardial infarction, unspecified"	"I21.9"	22	7936	277.2	173.7	419.7
	"Ouachita County, AR"	"05103"	"Acute myocardial infarction, unspecified"	"I21.9"	51	24098	211.6	157.6	278.3
	"Ouachita County, AR"	"05103"	"Atherosclerotic heart disease"	"I25.1"	10	24098	41.5 (Unreliable)	19.9	76.3
	"Perry County, AR"	"05105"	"Atherosclerotic heart disease"	"I25.1"	12	10132	118.4 (Unreliable)	61.2	206.9
	"Phillips County, AR"	"05107"	"Acute myocardial infarction, unspecified"	"I21.9"	27	18975	142.3	93.8	207.0
	"Pike County, AR"	"05109"	"Acute myocardial infarction, unspecified"	"I21.9"	15	10832	138.5 (Unreliable)	77.5	228.4
	"Poinsett County, AR"	"05111"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	10	24023	41.6 (Unreliable)	20.0	76.6
	"Poinsett County, AR"	"05111"	"Acute myocardial infarction, unspecified"	"I21.9"	38	24023	158.2	111.9	217.1
	"Poinsett County, AR"	"05111"	"Atherosclerotic heart disease"	"I25.1"	17	24023	70.8 (Unreliable)	41.2	113.3
	"Polk County, AR"	"05113"	"Acute myocardial infarction, unspecified"	"I21.9"	19	20173	94.2 (Unreliable)	56.7	147.1
	"Polk County, AR"	"05113"	"Heart disease, unspecified"	"I51.9"	14	20173	69.4 (Unreliable)	37.9	116.4
	"Pope County, AR"	"05115"	"Acute myocardial infarction, unspecified"	"I21.9"	41	63779	64.3	46.1	87.2
	"Pope County, AR"	"05115"	"Atherosclerotic heart disease"	"I25.1"	43	63779	67.4	48.8	90.8
	"Pope County, AR"	"05115"	"Congestive heart failure"	"I50.0"	14	63779	22.0 (Unreliable)	12.0	36.8
	"Prairie County, AR"	"05117"	"Acute myocardial infarction, unspecified"	"I21.9"	15	8251	181.8 (Unreliable)	101.7	299.8
	"Pulaski County, AR"	"05119"	"Hypertensive heart disease with (congestive) heart failure"	"I11.0"	19	393250	4.8 (Unreliable)	2.9	7.5
	"Pulaski County, AR"	"05119"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	46	393250	11.7	8.6	15.6
	"Pulaski County, AR"	"05119"	"Acute myocardial infarction, unspecified"	"I21.9"	247	393250	62.8	55.0	70.6
	"Pulaski County, AR"	"05119"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	174	393250	44.2	37.7	50.8
	"Pulaski County, AR"	"05119"	"Atherosclerotic heart disease"	"I25.1"	146	393250	37.1	31.1	43.1
	"Pulaski County, AR"	"05119"	"Pulmonary embolism without mention of acute cor pulmonale"	"I26.9"	12	393250	3.1 (Unreliable)	1.6	5.3
	"Pulaski County, AR"	"05119"	"Pulmonary heart disease, unspecified"	"I27.9"	11	393250	2.8 (Unreliable)	1.4	5.0
	"Pulaski County, AR"	"05119"	"Aortic (valve) stenosis"	"I35.0"	16	393250	4.1 (Unreliable)	2.3	6.6
	"Pulaski County, AR"	"05119"	"Cardiomyopathy, unspecified"	"I42.9"	13	393250	3.3 (Unreliable)	1.8	5.7
	"Pulaski County, AR"	"05119"	"Cardiac arrest, unspecified"	"I46.9"	11	393250	2.8 (Unreliable)	1.4	5.0
	"Pulaski County, AR"	"05119"	"Atrial fibrillation and flutter"	"I48"	26	393250	6.6	4.3	9.7
	"Pulaski County, AR"	"05119"	"Congestive heart failure"	"I50.0"	67	393250	17.0	13.2	21.6
	"Pulaski County, AR"	"05119"	"Heart failure, unspecified"	"I50.9"	30	393250	7.6	5.1	10.9
	"Pulaski County, AR"	"05119"	"Heart disease, unspecified"	"I51.9"	14	393250	3.6 (Unreliable)	1.9	6.0
	"Randolph County, AR"	"05121"	"Acute myocardial infarction, unspecified"	"I21.9"	36	17448	206.3	144.5	285.6
	"St. Francis County, AR"	"05123"	"Acute myocardial infarction, unspecified"	"I21.9"	46	26196	175.6	128.6	234.2
	"Saline County, AR"	"05125"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	20	118703	16.8	10.3	26.0
	"Saline County, AR"	"05125"	"Acute myocardial infarction, unspecified"	"I21.9"	43	118703	36.2	26.2	48.8
	"Saline County, AR"	"05125"	"Atherosclerotic heart disease"	"I25.1"	39	118703	32.9	23.4	44.9
	"Saline County, AR"	"05125"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	10	118703	8.4 (Unreliable)	4.0	15.5
	"Saline County, AR"	"05125"	"Congestive heart failure"	"I50.0"	32	118703	27.0	18.4	38.1
	"Saline County, AR"	"05125"	"Heart failure, unspecified"	"I50.9"	25	118703	21.1	13.6	31.1
	"Saline County, AR"	"05125"	"Heart disease, unspecified"	"I51.9"	10	118703	8.4 (Unreliable)	4.0	15.5
	"Scott County, AR"	"05127"	"Acute myocardial infarction, unspecified"	"I21.9"	12	10277	116.8 (Unreliable)	60.3	204.0
	"Searcy County, AR"	"05129"	"Acute myocardial infarction, unspecified"	"I21.9"	10	7967	125.5 (Unreliable)	60.2	230.8
	"Sebastian County, AR"	"05131"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	15	127793	11.7 (Unreliable)	6.6	19.4
	"Sebastian County, AR"	"05131"	"Acute myocardial infarction, unspecified"	"I21.9"	92	127793	72.0	58.0	88.3
	"Sebastian County, AR"	"05131"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	35	127793	27.4	19.1	38.1
	"Sebastian County, AR"	"05131"	"Atherosclerotic heart disease"	"I25.1"	57	127793	44.6	33.8	57.8
	"Sebastian County, AR"	"05131"	"Congestive heart failure"	"I50.0"	21	127793	16.4	10.2	25.1
	"Sevier County, AR"	"05133"	"Acute myocardial infarction, unspecified"	"I21.9"	13	16910	76.9 (Unreliable)	40.9	131.5
	"Sharp County, AR"	"05135"	"Acute myocardial infarction, unspecified"	"I21.9"	37	17157	215.7	151.8	297.3
	"Sharp County, AR"	"05135"	"Atherosclerotic heart disease"	"I25.1"	15	17157	87.4 (Unreliable)	48.9	144.2
	"Sharp County, AR"	"05135"	"Congestive heart failure"	"I50.0"	13	17157	75.8 (Unreliable)	40.3	129.6
	"Stone County, AR"	"05137"	"Atherosclerotic heart disease"	"I25.1"	10	12539	79.8 (Unreliable)	38.2	146.7
	"Union County, AR"	"05139"	"Acute myocardial infarction, unspecified"	"I21.9"	38	39887	95.3	67.4	130.8
	"Union County, AR"	"05139"	"Atherosclerotic heart disease"	"I25.1"	20	39887	50.1	30.6	77.4
	"Union County, AR"	"05139"	"Congestive heart failure"	"I50.0"	14	39887	35.1 (Unreliable)	19.2	58.9
	"Van Buren County, AR"	"05141"	"Acute myocardial infarction, unspecified"	"I21.9"	21	16628	126.3	78.2	193.1
	"Van Buren County, AR"	"05141"	"Congestive heart failure"	"I50.0"	10	16628	60.1 (Unreliable)	28.8	110.6
	"Washington County, AR"	"05143"	"Hypertensive heart disease with (congestive) heart failure"	"I11.0"	53	228049	23.2	17.4	30.4
	"Washington County, AR"	"05143"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	111	228049	48.7	39.6	57.7
	"Washington County, AR"	"05143"	"Hypertensive heart and renal disease with both (congestive) heart failure and renal failure"	"I13.2"	10	228049	4.4 (Unreliable)	2.1	8.1
	"Washington County, AR"	"05143"	"Acute myocardial infarction, unspecified"	"I21.9"	257	228049	112.7	98.9	126.5
	"Washington County, AR"	"05143"	"Atherosclerotic heart disease"	"I25.1"	70	228049	30.7	23.9	38.8
	"White County, AR"	"05145"	"Acute myocardial infarction, unspecified"	"I21.9"	70	79263	88.3	68.8	111.6
	"White County, AR"	"05145"	"Atherosclerotic heart disease"	"I25.1"	87	79263	109.8	87.9	135.4
	"White County, AR"	"05145"	"Heart failure, unspecified"	"I50.9"	10	79263	12.6 (Unreliable)	6.0	23.2
	"Woodruff County, AR"	"05147"	"Acute myocardial infarction, unspecified"	"I21.9"	21	6641	316.2	195.7	483.4
	"Yell County, AR"	"05149"	"Acute myocardial infarction, unspecified"	"I21.9"	41	21552	190.2	136.5	258.1
	"Yell County, AR"	"05149"	"Atherosclerotic heart disease"	"I25.1"	14	21552	65.0 (Unreliable)	35.5	109.0
	"Alameda County, CA"	"06001"	"Hypertensive heart disease with (congestive) heart failure"	"I11.0"	89	1647704	5.4	4.3	6.6
	"Alameda County, CA"	"06001"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	43	1647704	2.6	1.9	3.5
	"Alameda County, CA"	"06001"	"Hypertensive heart and renal disease with both (congestive) heart failure and renal failure"	"I13.2"	19	1647704	1.2 (Unreliable)	0.7	1.8
	"Alameda County, CA"	"06001"	"Acute subendocardial myocardial infarction"	"I21.4"	13	1647704	0.8 (Unreliable)	0.4	1.3
	"Alameda County, CA"	"06001"	"Acute myocardial infarction, unspecified"	"I21.9"	367	1647704	22.3	20.0	24.6
	"Alameda County, CA"	"06001"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	54	1647704	3.3	2.5	4.3
	"Alameda County, CA"	"06001"	"Atherosclerotic heart disease"	"I25.1"	601	1647704	36.5	33.6	39.4
	"Alameda County, CA"	"06001"	"Ischaemic cardiomyopathy"	"I25.5"	29	1647704	1.8	1.2	2.5
	"Alameda County, CA"	"06001"	"Other forms of chronic ischaemic heart disease"	"I25.8"	12	1647704	0.7 (Unreliable)	0.4	1.3
	"Alameda County, CA"	"06001"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	13	1647704	0.8 (Unreliable)	0.4	1.3
	"Alameda County, CA"	"06001"	"Pulmonary embolism without mention of acute cor pulmonale"	"I26.9"	15	1647704	0.9 (Unreliable)	0.5	1.5
	"Alameda County, CA"	"06001"	"Other secondary pulmonary hypertension"	"I27.2"	27	1647704	1.6	1.1	2.4
	"Alameda County, CA"	"06001"	"Mitral (valve) insufficiency"	"I34.0"	10	1647704	0.6 (Unreliable)	0.3	1.1
	"Alameda County, CA"	"06001"	"Aortic (valve) stenosis"	"I35.0"	52	1647704	3.2	2.4	4.1
	"Alameda County, CA"	"06001"	"Endocarditis, valve unspecified"	"I38"	18	1647704	1.1 (Unreliable)	0.6	1.7
	"Alameda County, CA"	"06001"	"Cardiomyopathy, unspecified"	"I42.9"	91	1647704	5.5	4.4	6.8
	"Alameda County, CA"	"06001"	"Atrial fibrillation and flutter"	"I48"	138	1647704	8.4	7.0	9.8
	"Alameda County, CA"	"06001"	"Congestive heart failure"	"I50.0"	156	1647704	9.5	8.0	11.0
	"Alameda County, CA"	"06001"	"Heart failure, unspecified"	"I50.9"	16	1647704	1.0 (Unreliable)	0.6	1.6
	"Alameda County, CA"	"06001"	"Cardiovascular disease, unspecified"	"I51.6"	118	1647704	7.2	5.9	8.5
	"Amador County, CA"	"06005"	"Acute myocardial infarction, unspecified"	"I21.9"	18	37383	48.2 (Unreliable)	28.5	76.1
	"Amador County, CA"	"06005"	"Atherosclerotic heart disease"	"I25.1"	30	37383	80.3	54.1	114.6
	"Amador County, CA"	"06005"	"Congestive heart failure"	"I50.0"	10	37383	26.8 (Unreliable)	12.8	49.2
	"Butte County, CA"	"06007"	"Hypertensive heart disease with (congestive) heart failure"	"I11.0"	20	226864	8.8	5.4	13.6
	"Butte County, CA"	"06007"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	65	226864	28.7	22.1	36.5
	"Butte County, CA"	"06007"	"Acute myocardial infarction, unspecified"	"I21.9"	73	226864	32.2	25.2	40.5
	"Butte County, CA"	"06007"	"Atherosclerotic heart disease"	"I25.1"	161	226864	71.0	60.0	81.9
	"Butte County, CA"	"06007"	"Ischaemic cardiomyopathy"	"I25.5"	16	226864	7.1 (Unreliable)	4.0	11.5
	"Butte County, CA"	"06007"	"Aortic (valve) stenosis"	"I35.0"	17	226864	7.5 (Unreliable)	4.4	12.0
	"Butte County, CA"	"06007"	"Cardiomyopathy, unspecified"	"I42.9"	16	226864	7.1 (Unreliable)	4.0	11.5
	"Butte County, CA"	"06007"	"Atrial fibrillation and flutter"	"I48"	43	226864	19.0	13.7	25.5
	"Butte County, CA"	"06007"	"Congestive heart failure"	"I50.0"	40	226864	17.6	12.6	24.0
